__time,/fmu/out/vehicle_local_position/ax,/fmu/out/vehicle_local_position/ay,/fmu/out/vehicle_local_position/az,/fmu/out/vehicle_local_position/dead_reckoning,/fmu/out/vehicle_local_position/delta_dist_bottom,/fmu/out/vehicle_local_position/delta_heading,/fmu/out/vehicle_local_position/delta_vxy[0],/fmu/out/vehicle_local_position/delta_vxy[1],/fmu/out/vehicle_local_position/delta_vz,/fmu/out/vehicle_local_position/delta_xy[0],/fmu/out/vehicle_local_position/delta_xy[1],/fmu/out/vehicle_local_position/delta_z,/fmu/out/vehicle_local_position/dist_bottom,/fmu/out/vehicle_local_position/dist_bottom_reset_counter,/fmu/out/vehicle_local_position/dist_bottom_sensor_bitfield,/fmu/out/vehicle_local_position/dist_bottom_valid,/fmu/out/vehicle_local_position/dist_bottom_var,/fmu/out/vehicle_local_position/eph,/fmu/out/vehicle_local_position/epv,/fmu/out/vehicle_local_position/evh,/fmu/out/vehicle_local_position/evv,/fmu/out/vehicle_local_position/heading,/fmu/out/vehicle_local_position/heading_good_for_control,/fmu/out/vehicle_local_position/heading_reset_counter,/fmu/out/vehicle_local_position/heading_var,/fmu/out/vehicle_local_position/ref_alt,/fmu/out/vehicle_local_position/ref_lat,/fmu/out/vehicle_local_position/ref_lon,/fmu/out/vehicle_local_position/ref_timestamp,/fmu/out/vehicle_local_position/tilt_var,/fmu/out/vehicle_local_position/timestamp,/fmu/out/vehicle_local_position/timestamp_sample,/fmu/out/vehicle_local_position/unaided_heading,/fmu/out/vehicle_local_position/v_xy_valid,/fmu/out/vehicle_local_position/v_z_valid,/fmu/out/vehicle_local_position/vx,/fmu/out/vehicle_local_position/vxy_reset_counter,/fmu/out/vehicle_local_position/vy,/fmu/out/vehicle_local_position/vz,/fmu/out/vehicle_local_position/vz_reset_counter,/fmu/out/vehicle_local_position/x,/fmu/out/vehicle_local_position/xy_global,/fmu/out/vehicle_local_position/xy_reset_counter,/fmu/out/vehicle_local_position/xy_valid,/fmu/out/vehicle_local_position/y,/fmu/out/vehicle_local_position/z,/fmu/out/vehicle_local_position/z_deriv,/fmu/out/vehicle_local_position/z_global,/fmu/out/vehicle_local_position/z_reset_counter,/fmu/out/vehicle_local_position/z_valid
1764161882.466973,0.003529720,-0.001120301,0.007118098,0.000000000,-0.251264662,-0.529267907,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,0.100000001,3.000000000,0.000000000,0.000000000,0.010000001,0.151917920,0.166527927,0.087046698,0.054111198,0.010072254,1.000000000,18.000000000,0.013102106,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000060135,1764161882383095.000000000,1764161882379095.000000000,-2.578124762,1.000000000,1.000000000,-0.000109555,3.000000000,-0.013816073,0.001329458,2.000000000,3.444049597,1.000000000,4.000000000,1.000000000,3.547698021,0.037355974,-0.004511374,1.000000000,3.000000000,1.000000000
1764161882.480008,0.001419496,-0.001973210,0.003075227,0.000000000,-0.251264662,-0.529267907,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,0.100000001,3.000000000,0.000000000,0.000000000,0.010000001,0.150626004,0.165818825,0.086108729,0.053883281,0.010067942,1.000000000,18.000000000,0.013102874,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000059996,1764161882391095.000000000,1764161882387095.000000000,-2.578128099,1.000000000,1.000000000,-0.000194262,3.000000000,-0.013939205,0.001307576,2.000000000,3.443967819,1.000000000,4.000000000,1.000000000,3.547482729,0.037195399,-0.004652669,1.000000000,3.000000000,1.000000000
1764161882.487401,-0.001038010,-0.000151904,0.001994427,0.000000000,-0.251264662,-0.529267907,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,0.100000001,3.000000000,0.000000000,0.000000000,0.010000001,0.151450843,0.166338250,0.086710483,0.054037351,0.010072035,1.000000000,18.000000000,0.013104429,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000060085,1764161882407095.000000000,1764161882403095.000000000,-2.578121901,1.000000000,1.000000000,-0.000400593,3.000000000,-0.014168886,0.001191109,2.000000000,3.443805456,1.000000000,4.000000000,1.000000000,3.547054529,0.036886126,-0.004991059,1.000000000,3.000000000,1.000000000
1764161882.499950,0.006740367,-0.003284225,-0.000516884,0.000000000,-0.251264662,-0.529267907,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,0.100000001,3.000000000,0.000000000,0.000000000,0.010000001,0.151867241,0.166599065,0.087011851,0.054114241,0.010066018,1.000000000,18.000000000,0.013105203,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000060130,1764161882415095.000000000,1764161882411095.000000000,-2.578126907,1.000000000,1.000000000,-0.000435772,3.000000000,-0.014294216,0.001144462,2.000000000,3.443725109,1.000000000,4.000000000,1.000000000,3.546841621,0.036737427,-0.005140548,1.000000000,3.000000000,1.000000000
1764161882.508455,0.003742832,-0.001385240,0.001062173,0.000000000,-0.251264662,-0.529267907,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,0.100000001,3.000000000,0.000000000,0.000000000,0.010000001,0.150577232,0.165888876,0.086075522,0.053886164,0.010056693,1.000000000,18.000000000,0.013105973,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000059991,1764161882423095.000000000,1764161882419095.000000000,-2.578135252,1.000000000,1.000000000,-0.000507385,3.000000000,-0.014395299,0.001113412,2.000000000,3.443638802,1.000000000,4.000000000,1.000000000,3.546641588,0.036588222,-0.005273368,1.000000000,3.000000000,1.000000000
1764161882.520996,-0.008073333,-0.007569171,0.001816545,0.000000000,-0.251264662,-0.529267907,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,0.100000001,3.000000000,0.000000000,0.000000000,0.010000001,0.150988027,0.166148290,0.086376019,0.053963248,0.010055710,1.000000000,18.000000000,0.013106750,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000060036,1764161882431095.000000000,1764161882427095.000000000,-2.578135252,1.000000000,1.000000000,-0.000670999,3.000000000,-0.014543467,0.001089561,2.000000000,3.443552732,1.000000000,4.000000000,1.000000000,3.546441555,0.036442935,-0.005393797,1.000000000,3.000000000,1.000000000
1764161882.527989,-0.002290653,-0.004902500,0.005085952,0.000000000,-0.251264662,-0.529267907,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,0.100000001,3.000000000,0.000000000,0.000000000,0.010000001,0.151401460,0.166408449,0.086676978,0.054040227,0.010057016,1.000000000,18.000000000,0.013107528,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000060081,1764161882439095.000000000,1764161882435095.000000000,-2.578133106,1.000000000,1.000000000,-0.000785888,3.000000000,-0.014667979,0.001092996,2.000000000,3.443466663,1.000000000,4.000000000,1.000000000,3.546241999,0.036301717,-0.005481904,1.000000000,3.000000000,1.000000000
1764161882.540141,-0.000840784,0.000100456,-0.004685949,0.000000000,-0.251264662,-0.529267907,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,0.100000001,3.000000000,0.000000000,0.000000000,0.010000001,0.150529400,0.165774077,0.086043596,0.053867426,0.010066152,1.000000000,18.000000000,0.013109067,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000059987,1764161882455095.000000000,1764161882451095.000000000,-2.578122377,1.000000000,1.000000000,-0.001029603,3.000000000,-0.014887912,0.000993405,2.000000000,3.443273067,1.000000000,4.000000000,1.000000000,3.545854568,0.036009118,-0.005771417,1.000000000,3.000000000,1.000000000
1764161882.549005,-0.002921843,0.004230569,-0.004544854,0.000000000,-0.251264662,-0.529267907,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,0.100000001,3.000000000,0.000000000,0.000000000,0.010000001,0.150939912,0.166033268,0.086344197,0.053944532,0.010069972,1.000000000,18.000000000,0.013109845,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000060032,1764161882463095.000000000,1764161882459095.000000000,-2.578117609,1.000000000,1.000000000,-0.001172905,3.000000000,-0.014927010,0.000923542,2.000000000,3.443165779,1.000000000,4.000000000,1.000000000,3.545667171,0.035867870,-0.005928944,1.000000000,3.000000000,1.000000000
1764161882.560207,0.007158956,-0.008066861,0.002925284,0.000000000,-0.251264662,-0.529267907,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,0.100000001,3.000000000,0.000000000,0.000000000,0.010000001,0.151768878,0.166553870,0.086946554,0.054098446,0.010072819,1.000000000,18.000000000,0.013111397,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000060122,1764161882479095.000000000,1764161882475095.000000000,-2.578113079,1.000000000,1.000000000,-0.001386035,3.000000000,-0.015125605,0.000812084,2.000000000,3.442952394,1.000000000,4.000000000,1.000000000,3.545293808,0.035595387,-0.006201401,1.000000000,3.000000000,1.000000000
